name,url,venuepage_label,venuepage_href,street-address,locality,region,phone,mail,postal-code
AllWays Lounge,http://www.wwoz.org/new-orleans-community/music-venues/allways-lounge,Marigny Theatre & AllWays Lounge website,http://www.marignytheatre.org,2240 St. Claude Ave.,New Orleans,LA,,dennis@nofringe.org,
Apple Barrel,http://www.wwoz.org/new-orleans-community/music-venues/apple-barrel,,,609 Frenchmen Street,New Orleans,LA,(504) 949-9399,,70116
Bacchanal Fine Wine & Spirits,http://www.wwoz.org/new-orleans-community/music-venues/bacchanal-fine-wine-spirits,http://bacchanalwine.com,http://bacchanalwine.com,600 Poland Avenue,New Orleans,LA,(504) 948-9111,bacchanalwine@gmail.com,70117
Backroom at Buffa's,http://www.wwoz.org/new-orleans-community/music-venues/backroom-buffas,,,1001 Esplanade Avenue,New Orleans,LA,(504) 949-0038,,70116
Banks Street Bar,http://www.wwoz.org/new-orleans-community/music-venues/banks-street-bar,Banks Street Bar website,http://www.banksstreetbar.com/,4401 Banks Street,New Orleans,LA,(504) 486-0258,banksmusic@bellsouth.net,70119
"Big Top, 3 Ring Circus",http://www.wwoz.org/new-orleans-community/music-venues/big-top-3-ring-circus,http://www.3rcp.com,http://www.3rcp.com,1638 Clio Street,New Orleans,LA,(504) 569-2700,info@3ringcircusproductions.com,70130
Blue Nile,http://www.wwoz.org/new-orleans-community/music-venues/blue-nile,The Blue Nile website,http://www.bluenilelive.com,532 Frenchmen Street,New Orleans,LA,(504) 948-2583,info@bluenilemusic.com,70116
Blue Nile - Balcony Room,http://www.wwoz.org/new-orleans-community/music-venues/blue-nile-balcony-room,Blue Nile website,http://www.bluenilelive.com/main.html,532 Frenchmen Street Up Stairs of Blue Nile,New Orleans,LA,,info@bluenilelive.com,70116
BMC,http://www.wwoz.org/new-orleans-community/music-venues/bmc,Balcony Music Club on MySpace,http://www.myspace.com/balconymusicclub,1331 Decatur Street,New Orleans,LA,(504) 599-7770,talebloo@bellsouth.net,70116
Bombay Club,http://www.wwoz.org/new-orleans-community/music-venues/bombay-club,http://www.thebombayclub.com,http://www.thebombayclub.com,830 Conti Street,New Orleans,LA,(504) 586-0972,info@thebombayclub.com,70112
Café Beignet on Bourbon,http://www.wwoz.org/new-orleans-community/music-venues/caf-beignet-bourbon,http://www.cafebeignet.com,http://www.cafebeignet.com,311 Bourbon Street,New Orleans,LA,(504) 525-2611,,70130
Café Negril,http://www.wwoz.org/new-orleans-community/music-venues/caf-negril,,,606 Frenchmen Street,New Orleans,LA,(504) 944-4744,,70116
Cafe Istanbul ,http://www.wwoz.org/new-orleans-community/music-venues/cafe-istanbul,,,2372 St. Claude,New Orleans,LA,,,
Carousel Lounge - Hotel Monteleone,http://www.wwoz.org/new-orleans-community/music-venues/carousel-lounge-hotel-monteleone,Hotel Monteleone website,http://www.hotelmonteleone.com/dining-entertainment/index.cfm,214 Royal Street,New Orleans,LA,(800) 535-9595,reservations@hotelmonteleone.com,70130
Carrollton Station,http://www.wwoz.org/new-orleans-community/music-venues/carrollton-station,http://www.carrolltonstation.com,http://www.carrolltonstation.com,8140 Willow Street,New Orleans,LA,(504) 865-9190,info@carrolltonstation.com,70118
Cask Room at Fulton On Tap,http://www.wwoz.org/new-orleans-community/music-venues/cask-room-fulton-tap,Fulton on Tap,http://www.fultonontap.com,608 Fulton St.,New Orleans,LA,,,70130
Checkpoint Charlie,http://www.wwoz.org/new-orleans-community/music-venues/checkpoint-charlie,,,501 Esplanade Avenue,New Orleans,LA,(504) 949-7012,,70116
Chickie Wah Wah,http://www.wwoz.org/new-orleans-community/music-venues/chickie-wah-wah,Chickie Wah Wah website,http://www.chickiewahwah.com,2828 Canal Street,New Orleans,LA,(504) 304-4714,,70119
The Church of the King in Mandeville,http://www.wwoz.org/new-orleans-community/music-venues/church-king-mandeville,,,22205 Little Creek Road,Mandeville,LA,,,70471
