name,tags,summary,url,livewire_id,image,image_attrib
(Don't Put) Fire (on Your) Face presented by Open Ears Music,,,,,http://farm6.staticflickr.com/5084/5288936455_0cafbe2ef2_s.jpg,http://www.flickr.com/photos/29381908@N02/5288936455
**RESCHEDULED** Perfect Gentlemen & Men of Unity Parade,,,,,,
101 Runners with Big Chief Monk Boudreaux,,,,,http://farm9.staticflickr.com/8152/7244496084_496e14acfe_s.jpg,http://www.flickr.com/photos/39554757@N07/7244496084
3 Muses,,,,,http://farm8.staticflickr.com/7027/6633480793_85ac6df4d2_s.jpg,http://www.flickr.com/photos/50655064@N08/6633480793
30x60 Blueswomen,,,,,,
4 Mag Nitrous,"s,t,o,n,e,r, ,r,o,c,k",Whiskey swamp kick ass rock \m/.,http://www.last.fm/music/+noredirect/4+Mag+Nitrous,,http://userserve-ak.last.fm/serve/126/29798863.jpg,http://www.last.fm/music/+noredirect/4+Mag+Nitrous
90 Degrees West,,,,,http://farm6.staticflickr.com/5303/5617318098_ba4a995400_s.jpg,http://www.flickr.com/photos/59334952@N05/5617318098
A Troop of Echoes,"post-rock,jazz,math rock,free jazz,saxophone","A Troop of Echoes shelves the self-important melodrama and delivers finely-crafted rock songs with addictive melodies, informed by exploratory harmony and the noisy experimentalism of Providence, RI. The brutal meets the beautiful.   Their debut LP “Days in Automation” was released on May 29th, 2010.  It can be streamed at: <a href=""http://atroopofechoes.bandcamp.com"" rel=""nofollow"">http://atroopofechoes.bandcamp.com</a>  
 Press:
 “…(a) hybrid of post-rock/free jazz/and sundry avant-garde…(A Troop of Echoes) enjoys melting minds with squalls of noise set against lush textures and skronking improv.”
 ",http://www.last.fm/music/A+Troop+of+Echoes,5378ee63-37e6-4702-9408-442c842bf376,http://userserve-ak.last.fm/serve/126/4334461.jpg,http://www.last.fm/music/A+Troop+of+Echoes
Aaron Keith,,,,,http://farm4.staticflickr.com/3088/2346657956_8502536b62_s.jpg,http://www.flickr.com/photos/12315268@N03/2346657956
Aaron Wilkinson & Co.,,,,,http://farm4.staticflickr.com/3125/2816181134_84350aa424_s.jpg,http://www.flickr.com/photos/30087971@N03/2816181134
Acoustic Open Mic hosted by Jim Smith,,,,,,
Aerial Attack,,,http://www.last.fm/music/Aerial+Attack,,,http://www.last.fm/music/Aerial+Attack
"Al ""Carnival Time"" Johnson","r,a,c,h,e,l, ,g,e,t,t,i,n,g, ,m,a,r,r,i,e,d",,http://www.last.fm/music/Al+%22Carnival+Time%22+Johnson,,http://userserve-ak.last.fm/serve/126/35098423.jpg,http://www.last.fm/music/Al+%22Carnival+Time%22+Johnson
Alabama Slim,,,http://www.last.fm/music/Alabama+Slim,,http://userserve-ak.last.fm/serve/126/55421865.jpg,http://www.last.fm/music/Alabama+Slim
Albinas Prizginta Celebrating Mozart's 357th birthday,,,,,,
Albinas Prizgintas,,,http://www.last.fm/music/Albinas+Prizgintas,,,http://www.last.fm/music/Albinas+Prizgintas
Alex McMurray,"under 2000 listeners,new orleans",,http://www.last.fm/music/Alex+McMurray,,,http://www.last.fm/music/Alex+McMurray
